Day,Time,Event Name,Focus Group,Venue,Description,Category
"Thursday July 9, 2026",11:00 AM – 11:00 PM,Registration & Check-In,ALL,Convention Hall,Registration verification and room assignments,
,11:00 AM – 3:15 PM,Refreshments,ALL,Convention Hall,Coffee and Snacks,
,Break,,,,,
,3:30 PM – 5:30 PM,Holy Qurbana (English),ALL,Convention Hall,"Main celebrant: Major Archbishop Raphael Thattil
Homily: Ephesians 2:10",
,5:30 PM – 7:30 PM,Dinner,ALL,Convention Hall,Buffet-style dinner,
,6:30 PM – 6:45 PM,Opening Ceremony,ALL,Convention Hall,Opening performance by Cathedral Artists,
,6:45 PM – 7:00 PM,Fusion Artists Staging,ALL,Convention Hall,Final alignment before fusion performance,
,7:00 PM – 7:30 PM,Thaala Vismayam,ALL,Convention Hall,"A grand fusion of 100+ Chenda artists and piano, led by Jayaram and Stephen Devassy",
,Break,,,,,
,7:40 PM – 8:40 PM,Jubilee Inauguration,ALL,Convention Hall,Inauguration of the Jubilee Convention and honoring the jubilee of Mar Jacob Angadiath,
,Break,,,,,
,8:45 PM – 10:30 PM,Cultural Program,ALL,Convention Hall,Showcase by Cathedral Cultural Academy,
,,,,,,
"Friday July 10, 2026",6:00 AM – 6:30 AM,Morning Meditation,MT,Convention Hall,TBD,
,6:30 AM – 7:30 AM,Rosary & Adoration,MT,Convention Hall,Led by Sehion team/Other teams/Sisters,
,6:30 AM – 7:30 AM,Confession,MT,Convention Hall,Priests on duty,
,6:30 AM – 8:00 AM,Breakfast,ALL,Convention Hall,Buffet breakfast,
,8:00 AM – 8:15 AM,Procession Staging,ALL,W375DE,Staging for procession,
,8:15 AM – 9:15 AM,Procession,ALL,Convention Center,Circular procession around the perimeter of the main convention hall.,
,Break,,,,,
,9:30 AM – 11:00 AM,Holy Qurbana (English),ALL,Convention Hall,Bishop Mar Tharayil (TBD),
,Break,,,,,
,11:15 AM – 11:20 AM,Introducing Bishop Fernandez,ALL,Convention Hall,Bishop Joy introduces Bishop Fernandez,Keynote
,11:20 AM – 11:50 AM,Keynote Address – Evolving from a transplanted community to a fully native Church,ALL,Convention Hall,Bishop Earl K. Fernandez,Keynote
,11:50 AM – 12:20 PM,Panel Discussion Anchored by Varughese Maliekkal,ALL,Convention Hall,"An engaging session on shaping the next 25 years of our diocese — goals, the way forward, and everyone’s role- Varughese Maliekkal",Keynote
,12:20 PM – 12:30 PM,Concluding Remarks,ALL,Convention Hall,Major Archbishop Mar Raphael Thattil will formally conclude the discussion with his guidance and perspective,Keynote
,12:30 PM – 2:30 PM,Lunch,ALL,Convention Hall,Buffet Lunch,
,Breakour Session- 1 1:30 PM – 2:30 PM,Trustees as Leaders- Practical steps to handle disagreements,Pre-registered,Room 101,Mar Andrew Thazhathu,Leadership
,,Building Wealth - Basics of building wealth early,Pre-registered,Room 201,TBD,Financial
,,Supporting Young Adults in Their Marriage Journey,Pre-registered,Room 301,Mar George Koovakattu,Family
,,Exploring Homeschooling,Pre-registered,Room 401,TBD,Family
,Break,,,,,
,Breakour Session- 2 3:00 PM – 4:00 PM,Supporting individuals navigating mental health challenges,Pre-registered,Room 101,Clinical Psychologist and Local Experts,Health
,,Dating Do’s & Don’ts,Pre-registered,Room 201,TBD,Family
,,Holy Qurbana - Signs and Symbols,Pre-registered,Room 301,Dr. Manoj,Spiritual
,,Envisioning Life After 60,Pre-registered,Room 401,TBD,Seniors
,Break,,,,,
,4:15 PM – 5:15 PM,Business Meet,15+,Convention Hall,Business session by Josey,Business
,Break,,,,,
,5:30 PM – 7:30 PM,Dinner,ALL,Convention Hall,Buffet Dinner ,
,6:00 PM – 7:30 PM,Dinner for Sponsors,Sponsors,TBD,Plated Dinner,
,6:00 PM – 10:30 PM,Parish Fest,ALL,Convention Hall,"A 15 minute cultural, artistic, or spiritual showcase by each parish.",
,,,,,,
"Saturday July 11, 2026",6:00 AM – 6:30 AM,Morning Meditation,MT,Convention Hall,TBD,
,6:30 AM – 7:30 AM,Rosary & Adoration,MT,Convention Hall,Led by Sehion team/Other teams/Sisters,
,6:30 AM – 7:30 AM,Confession,MT,Convention Hall,Priests on duty,
,6:30 AM – 8:00 AM,Breakfast,ALL,Convention Hall,,
,Break,,,,,
,8:15 AM – 8:30 AM,Praise and Workship,MT,Convention Hall,Stephen Devassy/Jesus Youth,
,8:30 AM – 10:00 AM,Holy Qurbana (Malayalam),MT,Convention Hall,"Main Celbrant- Mar Koovakattu, Homily- Mar Thazathu",
,Break,,,,,
,10:15 AM – 10:20 AM,Opening Remarks by Anchor,ALL,Convention Hall,Introducing the keynote speaker,Keynote
,10:20 AM – 10:50 AM,Keynote Address – Parenting in a multi cultural environment,ALL,Convention Hall,TBD,Keynote
,10:50 AM – 11:20 PM,Panel Discussion,ALL,Convention Hall,Structure TBD,Keynote
,11:20 PM – 11:30 PM,Concluding Remarks,ALL,Convention Hall,by Anchor - TBD,Keynote
,Break,,,,,
,11:45 AM – 12:15 PM,Immigrants to Influencers,Pre-registered,Convention Hall,Vivek Ramaswamy or Usha Vance,Keynote
,12:15 PM – 12:30 PM,Immigrants to Influencers - QA Session,Pre-registered,Convention Hall,Audience,Keynote
,12:30 PM – 2:30 PM,Lunch,ALL,Convention Hall,Buffet lunch,
,Breakour Session- 3 1:30 PM – 2:30 PM,"Special Event for Trustees, Pioneers and SMCA",Trustees/Pioneers/SMCA,Room 101,Lay Leadership and Vision - Dr. Jose Periapuram,Leadership
,,Aging with Grace,Pre-registered,Room 201,Fr. Bobby Jose Kattikad,Family
,,LGBTQ+ & Gender Issues ,Pre-registered,Room 301,Panel with Mar Koovakkattu and Mar Thazhathu,Family
,Break,,,,,
,Breakour Session- 4 3:00 PM – 4:00 PM,Special Event for Women,Women,Room 101,Women Helping Women Rise,Leadership
,,"Spiritually Syro-Malabar, Socially Not",Pre-registered,Room 201,Mar Tharayil,Spiritual
,,Dating Boundaries,Pre-registered,Room 301,Femya & Jesslyn,Family
,Break,,,,,
,Breakour Session- 5 4:30 PM – 5:30 PM,"Special Event for Sacristans, Choir and  Vincent D' Paul",Sacristans/Vincent D' Paul/Choir,Room 101,Behind the Mass/Living the Gospel Through Service and Solidarity,Leadership
,,Harmony in Marriage,Pre-registered,Room 201,Fr. Joseph Puthenpurackal,Family
,,Dual Identity Challenges,Pre-registered,Room 301,Fr. Bince,Family
,Break,,,,,
,5:30 PM – 7:30 PM,Dinner,ALL,Convention Hall,Social gathering followed by Plated Dinner,
,Break,,,,,
